esperanto,english,cefr_level
"En novembro 1922, tramonzo estis akcidente fiksita dum movoj ĉirkaŭ unu nokto.","In November 1942 , a tram was accidentally set in motion whilst parked up overnight .",B2
La malnova tombejo kavernos en la riveron ĉirkaŭ 1937 .,The old cemetery caved into the river around 1937 .,B2
Ĝi estis la germana paraltistoj 'ununokte falas dum la dua mondmilito.,It was the German paratroopers ' only night time drop during World War II .,B2
Malbenitaj piloloj kutime estas tre maldikaj littukoj kun la teksto gratita sur malgrandaj literoj.,Curse tablets are typically very thin sheets of lead with the text scratched on in tiny letters .,B2
"De 1990, la bankoj de la transviŝo estis regeneritaj per la kreado de loĝejoj, komercaj parkoj kaj komercaj sur antaŭaj ŝipoj de la giltoj.","From 1990 , the banks of the Wear were regenerated with the creation of housing , retail parks and business centers on former shipbuilding sites .",B2
"Sur internacia bazo, poetoj povas sendi siajn poemojn.","On an international basis , poets may submit their poems .",B2
Hodiaŭ nenio krom ŝtonaĵoj kaj la altaj fervojuloj restas de la fervojujo.,Today nothing but stone ruins and the elevated railway water tank remain of the township .,B2
Nahul estis parolata en centra Meksiko ekde almenaŭ la sepa jarcento CE.,Nahuatl has been spoken in central Mexico since at least the seventh century CE .,B2
"En-yy cedas al la efikoj de la veneno , kaj Mi-li aranĝas aborton sen ""neyys .""","Eun-yi succumbs to the effects of the poison , and Mi-hee arranges an abortion without Eun-yi 's consent .",B2
Feroa ludo estas pluraj - falo kongruas kun difinita limo.,An iron man match is a multiple - fall match with a set time limit .,B2
"Nauzia estas nespecifa simptomo , kiu signifas, ke ĝi havas multajn eblajn kaŭzojn.","Nausea is a non-specific symptom , which means that it has many possible causes .",B2
"En matematiko la nombro kvar estas nombro eĉ nombro, kaj la plej malgranda komplenda nombro.","In mathematics , the number four is an even number and the smallest composite number .",B2
"Whipibo havas multajn instalaĵojn de malgranda urbo, kiuj estas tradicia regiona servocentro.",Whitbourne has many of the facilities of a small town that has traditionally been a regional service center .,B2
"""Konsidera knabo povis stari tra la vicoj kaj en la domo, se bonŝancos, fine iĝas valot aŭ ĉefservisto.""","A hall boy could rise through the ranks and , if fortunate , eventually become a valet or butler .",B2
"Kvankam la bezono de pli bona flughaveno estis rekonita en 37 studoj, farita inter 1926 kaj 1938, estis statopensado kontraŭ federacia evoluo de flughavenoj.","Although the need for a better airport was acknowledged in 37 studies conducted between 1926 and 1938 , there was a statutory prohibition against federal development of airports .",B2
Sur unuspecaj instrumentoj kiel klarneto aŭ saksofono la buŝo taŭgas kiel staneto.,On single-reed instruments like a clarinet or saxophone the mouthpiece is shaped like a wedge .,B2
"Stultuloj kutime bezonas tri aŭ pli da viroj, ol tiuj, kiuj faras la krimon.",Gang rapes usually involve three or more men as the ones who commit the crime .,B2
"La oj trinkejoj estas la mola bazo de grasa histo antaŭ la vulvo, en la drinkejo, kiu kovras la drinkejon .","The mons pubis is the soft mound of fatty tissue at the front of the vulva , in the pubic region covering the pubic bone .",B2
"Abelach kreskas sur larĝa kampo de grundoj, acidaj aŭ bazaĵoj, kondiĉe ke ili ne estas por longaj periodoj.","Beech grows on a wide range of soil types , acid or basic , provided they are not wet for long periods .",B2
"Dum la dua mondmilito, la britoj jam akuzis Germanion uzante la grason de homaj korpoj por fari aĵojn.","During World War I , the British had already accused Germany of using the fat from human bodies to make things .",B2
La plena oficiala titolo de la polica servo malofte uzata en parolo.,The full official title of the police service is rarely used in speech .,B2
"Internacia flughaveno eble havas du - unu elirvojon , unu forvojaĝojn kaj unu por alveno .","An international airport may have two one - way loop roads , one for departures and one for arrivals .",B2
"Virenque estis kritikita de la amaskomunikiloj kaj sidiĝis por sia neston en la vizaĝo de pli kaj pli da pruvoj, kiujn li faris sen sia scio.",Virenque was criticized by the media and satirists for his denial in the face of increasing evidence and his pretence of having been doped without his knowledge .,B2
"La aferoj, kiuj ne ekzistas en iu aparta loko, estas ofte konsiderataj abstraktaĵoj.",Things that do not exist at any particular place and time are often considered abstract .,B2
"Ĉi tiu frazo estas brita en origino kaj devenas de sporto, kiu uzas ekspostojn .",This phrase is British in origin and derives from sports that use goalposts .,B2
La funkcio minalodiada kaj nocaj versioj de la skalo estas skribitaj en hazardaĵoj kiel necesa .,The melodic and harmonic versions of the scale are written in with accidentals as necessary .,B2
"Plia atoma esploro kondukis lin al la konkludo, ke 'dididididiema afrikanoj estas tiel malsama kiel , aŭ eĉ pli, de afrikanoj kiel de eŭropanoj.","Further anatomical study led him to the conclusion that 'individual Africans differ as much , or even more , from other Africans as from Europeans ' .",B2
Apipipoj estis profunde kuirataj kaj ĉefe el ligno.,An aspis was deeply dished and made primarily of wood .,B2
"Oni kutime kuiriĝas en bolanta akvo, foje kun kuiri oleon aŭ aldonis salon.","Noodles are usually cooked in boiling water , sometimes with cooking oil or salt added .",B2
"Kiel emo eniris la ĉefan socion, ĝi fariĝis subkuremulo .","As emo entered the mainstream , it became a subculture .",B2
"En modernaj tempoj, eĉ la praktiko de bestoj malaperis el kelkaj religioj, kaj la homo alportas oferojn fariĝis ege malofta .","In modern times , even the practice of animal sacrifice has disappeared from some religions , and human sacrifice has become extremely rare .",B2
"Tradiciaj, mondoj estis fabrikitaj per inseno de presita mapo sur globon, ofte faritaj el ligno.","Traditionally , globes were manufactured by gluing a printed paper map onto a sphere , often made from wood .",B2
"Pro ĝia pozicio, la huido ne facile difektiĝas.","Due to its position , the hyoid bone does not fracture easily .",B2
La protektita areo estas parto de la Terai-Davan kaj herbokuracistojn .,The protected area is part of the Terai-Duar savanna and grasslands ecoregion .,B2
Ĉi-sube prezentas novecan uzadon de diversaj videoludoj pri enhavoj ĉirkaŭ la mondo.,The image below presents outdated usage of various video game content rating systems around the world .,B2
"Post la eksplodo, polico forigis la areon kaj traserĉis iujn kromajn eksplodemajn aparatojn.","Following the explosion , police cleared the area and searched for any additional explosive devices .",B2
"Estas malfacile kaj rege, sed kolbasa.",It is hard and crisp but juicy .,B2
En 19343 li iĝis la estro de mitimigo kaj ankaŭ havis respondecon por kriptoliison kun la usona .,"In 1943 , he became assistant director in charge of mechanization and also had responsibility for cryptographic liaison with the US .",B2
"Post la intertraktadoj por fini apartismon en Sud-Afriko komenciĝis en 1990, la nacio reinvenigis la Olimpiajn movadon .","After the negotiations to end apartheid in South Africa commenced in 1990 , the nation re-joined the Olympic movement .",B2
"Lovinoj kaj Antaŭrigardo diras, ke tiuj du malsamaj tipoj de personaj valoroj kondukas al du tre malsamaj politikoj pri aliro al estontaj energiprovizoj.",Lovins and Price say that these two different sets of personal values lead to two very different policy paths relating to future energy supplies .,B2
"Ankaŭ en kompaniaj konkludantoj ankaŭ enhavas tradician ludiston "" tunelon en la centro de la centro.""",The stand also incorporates a traditional players ' tunnel in the center .,B2
"harpo agordiĝas al C-Bawawy, havas ĉiujn siajn pedalojn en la malsupre pozicio.",A harp tuned to C-sharp major has all its pedals in the bottom position .,B2
Amnunfaristoj ofte ofertas plurajn kuglobrutajn pezilojn kaj klasojn por donita pankarto.,Ammunition makers often offer several bullet weights and types for a given cartridge .,B2
Logiko estas la studo de argumentado kaj argumento.,Logic is the study of reasoning and argument .,B2
"La unuaj Reformoj estis establitaj en Eŭropo en 1500 , en la vekiĝo de la protestado .","The first Reformed Churches were established in Europe in the 1500s , in the wake of the Protestant Reformation .",B2
La brita Svereno funkcias kiel la Suvereno de la regiono.,The British Sovereign serves as the Sovereign of the Order .,B2
"La evoluo-historio de skorpioj reiras al la Siilurian , 430 milionojn antaŭ jaroj .","The evolutionary history of scorpions goes back to the Silurian , 430 million years ago .",B2
"Tamen, ĉar konvencioj ne estas tekste bazitaj , ilia ekzisto kaj praktiko estas alireblaj por debato .","However , because conventions are not textually based , their existence and practice are open to debate .",B2
"Finfine la uzo de nenus estis konsiderata akceptebla nur kiam la du aliaj, pli altaj kategorioj de konstruadoj ne prezentis solvon .","In the end the use of neusis was deemed acceptable only when the two other , higher categories of constructions did not offer a solution .",B2
"La estraro konsistas el ok ciferoj , kiuj estas generitaj kiel ""La unuaj du ciferoj de la individuo"" en la germana ŝtato.","The municipality key consists of eight digits , which are generated as follows : The first two numbers designate the individual German state .",B2
"Kaj ŝi konvinkis sian edzon doni al ŝi sanktan stangon de la morusarboj, kie ŝi povis enkarnigi la vermojn, kiuj faris tiujn kokonojn.","She persuaded her husband to give her a grove of mulberry trees , where she could domesticate the worms that made these cocoons .",B2
"Ni skribas amasan nombron post elemento 's' nomo aŭ kiel superskripto al la maldekstra "" element‟.",We write a mass number after an element 's name or as a superscript to the left of an element 's symbol .,B2
genetika konsilisto estas fakulo pri ĉefminico de scienco pri genetika konsilo.,A genetic counselor is an expert with a Master of Science degree in genetic counseling .,B2
La oficiala kategorio ekzistas ekde 1961 kaj ekde tiam dek ses jaroj.,The On-ice official category has been in existence since 1961 and since then sixteen have been inducted .,B2
"Gunfaroj povas esti konfuzitaj per aliaj bruoj, kiuj povas soni simile al la fajroverikaj eksplodoj kaj aŭtoj refinitaj.","Gunfire can be confused with other noises that can sound similar , such as firework explosions and cars backfiring .",B2
"La malbonuloj varbiĝis por dungi homojn estis fortranĉitaj el kolora ŝtofo, dum la oficiroj ""malbone estis faritaj kaj pli alta kvalito.""","The badges for enlisted men were cut from colored cloth , while officer 's badges were privately made and of a higher quality .",B2
Yuukeloj estas vaste pli altaj ol kvikaj plantoj en ĝardenoj.,Yuccas are widely grown as ornamental plants in gardens .,B2
"La mallonga - la komunaj delfenoj estas mezgranda delfeno, sed estas pli malgranda ol la aliaj specioj de la genro Delnusnus, la longabulano estas ordinara delfeno.","The short - beaked common dolphin is a medium-sized dolphin , but is smaller than the other species of the genus Delphinus , the long- beaked common dolphin .",B2
La Palma branĉo estis simbolo de triumfo kaj venko en la antaŭkrista tempo.,The palm branch was a symbol of triumph and victory in pre-Christian times .,B2
"En la fina tempo la temperaturoj proksime de la malsupro de la gejsero kreskas al punkto kie la bolanta armeo komenciĝas, kiuj vaporiĝas ĝis la supro de la kolumno .","Ultimately , the temperatures near the bottom of the geyser rise to a point where boiling begins which forces steam bubbles to rise to the top of the column .",B2
"Estas pluraj materialoj uzataj en segiloj, kun ĉiu el siaj propraj indikoj .","There are several materials used in saws , with each of its own specifications .",B2
Kelkaj specioj de stelofiŝo povas regeneriĝi en la brakoj .,Some species of starfish can regenerate lost arms .,B2
Multe da urbo situas sur malalta distanco de montetoj paralelaj al la marbordo.,Much of the city is located on a low range of hills running parallel to the coast .,B2
"La sakro kaj falko estis ĉirkaŭigitaj je 360 kaj 320 metrojn, se ĝi pafis rekte al la celo, kaj 2, 701 kaj 19 EUR, se ĝi estis maldungita en pli alta arko.","The saker and falcon had ranges of 360 and 320 yards if fired straight at the target , and 2,170 and 1,920 yards if fired in an upward arc .",B2
"Bone - konata ekzemplo pri manko de neompetento, eblas vidi en homoj dum mezviva krizo.","A well - known example of failing overcompensation , can be seen in people going through a mid life crisis .",B2
"Instututoj kaj urbetoj povas enhavi fajrolaborojn kaj kromaĵojn , kaj same oni faras pli malgrandan skalon en ĝardenoj tra la lando .","Institutions and towns may hold firework displays and bonfire parties , and the same is done on a smaller scale in back gardens throughout the country .",B2
Pavimoj kaj rilataj produktoj estis historiaj merkatoj kiel maniero por ŝpari artefaritajn kostojn kaj fari pli uzeblan kaj agrablan .,Pavement lights and related products were historically marketed as a way of saving on artificial lighting costs and making space more usable and pleasant .,B2
"Streĉi, en sia plej baza formo , estas natura kaj instinkta aktiveco; ĝi estas farita de multaj bestoj inkluzive de homoj.","Stretching , in its most basic form , is a natural and instinctive activity ; it is done by many animals including humans .",B2
"Komence la homoj kredis, ke iam en la 7a aŭ 8-a jarcento la urbo estis maldungita kaj bruligita de invadintoj.","At first , people believed that sometime in the 7th or 8th century , the city was sacked and burned by invaders .",B2
La ŝtata agentejo funkcias per jara proproracio de proksimume ses milionoj da dolaroj kaj proksimume 100 dungitoj.,The state agency operates with an annual appropriation of approximately six million dollars and approximately 100 employees .,B2
"Ekde la komenco , kajkaj platformoj estis almenaŭ 155 m por gastigi ok spacojn - aŭto trajnoj .","Since the beginning , platforms have been at least 155 m long to accommodate eight - car trains .",B2
"Se kvaronoj ne estas kiel la konstruo de la defendo estas uzita, ili povas uzi aŭdeblan tajlon.","If quarterbacks do n't like the formation the defense is using , they may use an audible .",B2
"Iam malfermiĝis kaj enloĝata, ili kutime ofertas nur la plej nudajn ostojn - ostoj de servo: coto kaj eble bovlon da varma supo.","Once opened and populated , they typically offer only the most bare - bones of service : a cot and perhaps a bowl of hot soup .",B2
"La kestoj estas plataj, sed kun pecoj levitaj por halti aĵojn for de ili .","Trays are flat , but with raised edges to stop things from sliding off them .",B2
"Plataj kamionoj havas tute platan, nivelon de platformo.","Flatbed trucks have an entirely flat , level platform body .",B2
"Boomengoj fojfoje kuntiĝas, ofte en la Koblamenta elemento.","Boomerang coasters have occasionally stalled , often in the Cobra Roll element .",B2
Multaj el liaj ekzemploj estas bazitaj sur la kvadrato de la kubo- leĝo .,Many of his examples are based on the square- cube law .,B2
"La komenco de la sezono estis neantaŭvidebla, kun sep malsamaj stirantoj gajnis la unuan sep rason de la ĉampiono; la atesto por la serio .","The start of the season was unpredictable , with seven different drivers winning the first seven races of the championship ; a record for the series .",B2
En la tempoj de antikvaj Grekio kaj Romo ofte estis uzataj kiel ili estas hodiaŭ.,"In the times of ancient Greece and Rome , handkerchiefs were often used the way they are today .",B2
Modernaj instrumentoj klasifikitaj kiel cimoj ofte estas valvoj .,Modern instruments classified as bugles are often valved .,B2
"La tria akto estas dominata de la mariona spektaklo, ludo ene de la teatraĵo.","The third act is dominated by the puppet show , a play within the play .",B2
"Dentempuloj nun estas ĉefe uzataj por produkti bredan stokon, viandon kaj lanon.","Zwartbles are now mainly used to produce breeding stock , meat and wool .",B2
"Enkorpigitaj sistemoj ofte troviĝas en maŝinoj kiuj estas atenditaj senĉese dum jaroj sen eraroj, kaj en kelkaj okazoj rekuŝas sin mem, se eraro okazas .","Embedded systems often reside in machines that are expected to run continuously for years without errors , and in some cases recover by themselves if an error occurs .",B2
Kameleonoj havas la plej karakterizajn okulojn de iu ajn kopiatopaĵo.,Chameleons have the most distinctive eyes of any reptile .,B2
Ekzistas diversaj metodoj uzataj por trakti fobiojn.,There are various methods used to treat phobias .,B2
"La frabela danco konsistas el unu el 100 aŭ pli da cirkvitoj, ĉiu el kiuj konsistas el du fazoj. La bva fazo kaj la reveno de la fazo.","A waggle dance consists of one to 100 or more circuits , each of which consists of two phases : the waggle phase and the return phase .",B2
La vitamino estas la plej granda kaj plej struktura vitamino .,The vitamin is the largest and most structurally complicated vitamin .,B2
"En la lastaj jaroj, pro bruo de poluado, pli kaj pli rapida rapido fariĝas pli malfacila.","In recent years , due to noise pollution , increasing speed is getting harder .",B2
"Ĉe la influo de la celo, malfrua ago estas lanĉita.","On impact with the target , a delayed action fuze is triggered .",B2
Realisma spaco provas kopii la konduton de vazo sub la leĝoj de fiziko.,Realistic space try to copy the behavior of a vessel under the laws of physics .,B2
"Rezervidaj elementoj estas kodoj kiuj , dum ne ISO 3166 - kodoj, estas uzataj por kelkaj aplikaĵoj kune kun la ISO 3166 kodoj.","Reserved code elements are codes which , while not ISO 3166 - 1 codes , are in use for some applications in conjunction with the ISO 3166 codes .",B2
"Dependas de la kulturo , familio kaj sociaj strukturoj, same kiel seksoj estis trovitaj por evoluigi inter 3 kaj 9 jaroj .","Depending on the culture , and family and social structures , same - sex preferences have been found to develop between 3 and 9 years old .",B2
"Farita de la baskula , ĝi mezuras 2.3 metrojn de 0. 92 metrojn kaj estas 20 centimetrojn dika.","Made of basalt , it measures 2.43 metres by 0.92 metres and is 20 centimetres thick .",B2
"Ekde la evoluo de teknologio, Transsendo kaj konservila sistemo estis de grandegaj interesoj al teknikistoj kaj teknikoj .","Since the development of technology , Transmission and storage systems have been of immense interest to technologists and technology users .",B2
Grooves estas uzata por pluraj celoj en ŝranko kaj aliaj lignaj kampoj.,Grooves are used for several purposes in cabinet making and other woodworking fields .,B2
La marmora stango estas trovita el sudorienta Eŭropo al Rusio kaj Ĉinio.,The marbled polecat is found from southeast Europe to Russia and China .,B2
En finaĵo de sia misiona teorio pri arouse proponis difinojn por acidoj kaj bazoj en 1884 .,"In an extension of his ionic theory Arrhenius proposed definitions for acids and bases , in 1884 .",B2
"City name (optional, probably does not need a translation)",Transposable elements represent one of several types of mobile genetic elements .,B2
"biciklinto devas porti la konkuristojn, kiam ili konkurencas en la sama disciplino, kategorio kaj apartaĵo, ke li estas ĉampiono por la mondo.","A cyclist must wear the jersey when competing in the same discipline , category and speciality that he is world champion for .",B2
La sxildo mem konsistas el multaj komponantoj.,The shield itself consists of many components .,B2
La vira koloro de la mantelo de brakoj estas montri al brila estonteco por la insuloj.,The vibrant colors of the coat of arms are to point to a bright future for the islands .,B2
IC havas du ĉefajn avantaĝojn super fovaĵoj: kosto kaj prezentoj.,ICs have two main advantages over discrete circuits : cost and performance .,B2
"Skatonta igas predon de bestoj pli videblaj, kaj uzas tempon kaj energion, kiu povus esti elspezata de la predanto.","Stotting makes a prey animal more visible , and uses up time and energy that could be spent on escaping from the predator .",B2
"Heather estas grava nutraĵofonto por diversaj sxafoj kaj cervoj, kiuj povas ligi la konsilojn de la plantoj, kiam la neĝo kovras la malaltajn legomojn.",Heather is an important food source for various sheep and deer which can graze the tips of the plants when snow covers low growing vegetation .,B2
"Ŝajnas, ke eventoj pruvas la antaŭsignojn.",Events seemed to prove the omens right .,B2
"Multaj Interret-uzantoj estis trompitaj rigardi la ejon iam aŭ alian, ĝi fariĝis io de interretamelo .","Many Internet users have been tricked into looking at the site at one time or another , it has become something of an Internet meme .",B2
"Basil suferas pro pluraj plantosaj malsanoj, kiuj povas ruinigi la rikolton kaj redukti la gajnon.",Basil suffers from several plant diseases that can ruin the crop and reduce yield .,B2
"Alizaj konsilantaroj veturas per volontulaj konsilantaroj, kiuj estas elektitaj por servi dum kvar jaroj kaj ne estas pagataj .",Parish councils are run by volunteer councilors who are elected to serve for four years and are not paid .,B2
"Prorealaj rezultoj estas la balotiloj de individuo, kiuj iras - en voĉdonaj centroj .",Provisional results are the ballot counts for individual walk - in voting centers .,B2
La kresko kaj evoluo de la Edmonara biota ankaŭ gravas.,The growth and development of the Ediacara biota is also important .,B2
Neniu mencio pri ili troviĝis en modernaj kontoj aŭ bildoj de la tempo .,No mention of them has been found in contemporary accounts or pictures of the time .,B2
"Ĉi tiuj pistoloj postulas la kontraŭleĝajn brakojn merkatojn en Barato, ĉar ili estas facile kaj malpli kostaj.",Chinese pistols are in demand in the illegal small arms market in India because they are easy to get and cheaper .,B2
Oni konsideris seninfanajn en la 1950-aj jaroj .,Being childless was considered unusual in the 1950s .,B2
"En Kanado, grafikaĵoj estas donataj de esplorisaj aŭtoritatoj.","In Canada , charters are granted by provincial authorities .",B2
"Multaj markoj da preta tranĉo de pano estas disponeblaj, iuj aparte de la merkato por rosti .","Many brands of ready sliced bread are available , some of which specifically market their suitability for toasting .",B2
Nombro da kestoj kuŝas enigitaj en ĉi tiu regiono.,A number of craters lie embedded within this range .,B2
"Dependas je la grandeco de la motoradado kaj kiu portas ĝin, la vojo povas esti tute blokata de la ĝenerala publiko.","Depending on the size of the motorcade and who it is carrying , routes may be completely blockaded from the general public .",B2
"Por juĝi, ĉu lingvo fakte estas en danĝero, la nombro de parolantoj estas malpli grava ol la distribuo inter aĝoj.","In order to judge if a language is actually endangered , the number of speakers is less important than the distribution among age cohorts .",B2
"La manko de haroj povas kaŭzi sanproblemojn kun katidoj en la unuaj semajnoj de la vivo, ĉar ili povas malsaniĝi kun spiradoj de infektoj.",The lack of hair can cause health issues with kittens in the first weeks of life because they can get sick with respiratory infections .,B2
"91 etopes specio , plej multaj el kiuj estas denaskaj en Afriko, okazas en ĉirkaŭ 30 genea .","The 91 antelope species , most of which are native to Africa , occur in about 30 genera .",B2
Kontraste al Usono landoj trudis konsiderindajn impostojn al brulaĵoj kiel benzino.,"Unlike the US , countries in Europe impose substantial taxes on fuels such as gasoline .",B2
"La trajtoj de tiu sekreta aŭ ŝlosilo estas determinitaj per la sistemo, kiu uzas ĝin; kelkaj sistemoj postulas, ke tiaj klavoj estu en specifa formo.",The characteristics of this secret or key are determined by the system which uses it ; some system require that such keys be in a specific format .,B2
En 2004 akuzoj estis metitaj kontraŭ sep viroj vivantaj en Pitkarnujo kaj ses vivantaj eksterlande.,"In 2004 , charges were laid against seven men living on Pitcairn and six living abroad .",B2
Kupikastoj estas multe pli malfacilaj ol cirusaj plantoj kiel oranĝoj.,Kumquats are much hardier than citrus plants such as oranges .,B2
"SCRoj estas plejparte uzataj en aparatoj por la regado de alta potenco , eble kun alta tensio.","SCRs are mainly used in devices for the control of high power , perhaps with high voltage .",B2
La plej frua dramero en okcidenta literaturo kun divivaj verkoj estas la malnovaj grekoj.,The earliest playwright in Western literature with surviving works are the Ancient Greeks .,B2
"Kiam ludistoj renkontas malamikojn en aŭ skriptaj eventoj aŭ hazardaj renkontiĝoj, ili eniras en batalmoduson.","When players encounter enemies in either scripted events or random encounters , they enter a battle mode .",B2
La listo estas ordigita per okupado kaj per nacieco.,The list is sorted by occupation and by nationality .,B2
Flamaĵoj kalkulis la sunajn eklipson de 1666 kaj 168 86 .,Flamsteed calculated the solar eclipses of 1666 and 1668 .,B2
"La tuta resumo estas dividita en 35 distriktojn, kutime reprezentanta specifan areon.","The entire synod is divided into 35 districts , usually representing a specific geographic area .",B2
La plej maljunakhachkars en la tombejo iras reen al la malfrua jarcento.,The oldest khachkars in the cemetery go back to the late 10th century .,B2
"Birdoj kaj bestoj de ĉiuspecaj komencis riĉigi sian ĝardenon, kie oni permesis al ili libere vagadi inter la tero.","Birds and animals of all sorts began to enrich her garden , where they were allowed to roam free among the grounds .",B2
"La tekstilej kaj fabrikaj sektoroj trans Skotlando suferis gravan rifuzon en la posttempa periodo kaj en aparta periodo de la 1960 , en la vizaĝo de pli granda eksterlanda konkurenco.","The textile and manufacturing sectors across Scotland suffered significant decline in the post-war period and in particular from the 1960s , in the face of greater foreign competition .",B2
Tiuj ses esceptoj estas kaj la verboj formas el ili uzante prefiksojn .,These six exceptions are and the verbs formed out of them using prefixes .,B2
"s el 2019, Manikoj flugas al pli ol 150 cellokoj en pli ol 175 landoj kaj funkcias pli ol 14500 flugoj.","s of 2019 , SkyTeam flies to more than 1,150 destinations in more than 175 countries and operates more than 14,500 daily flights .",B2
"Do not translate the keyword between brackets (e. g. ServerName, ServerAdmin, etc.)","Upon receiving its classification , the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle .",B2
La golfo ricevas la rapidegon de la akvotritaĵoj de 12 riveroj.,The gulf receives the runoff from the watersheds of 12 rivers .,B2
"Cross laboras rilate al la nacia elektrograveca celo, kiu konsistas el instalado de 800 publiko por elektraj aŭtoj kaj hibridaj aŭtoj en la lando ĝis 2020 .",Creos is working towards the national electric vehicle objective that consists of installing 800 public charging stations for electric cars and hybrid plug- in cars across the country by 2020 .,B2
"La evento estis vidita unue en la mezepoko, kiam ili ĵetus polbulojn ĉe siaj malamikoj.","The shot put event was first seen in the Middle Ages , when they would throw cannonballs at their enemies .",B2
Multaj marksignoj de la serio estas ricevitaj trajtoj bazita sur la respektiva elemento.,Many of the recurring characters of the series have received traits based on the respective element .,B2
france_ regions. kgm,Sword dances include long sword dances and rapper dancing .,B2
"Mapoj estas vaste konataj kiel rolo aktoro , kiu iam ludas timigajn aŭ mallumecajn signojn.","Mapother has become widely known as a character actor , who sometimes plays scary or otherwise dark characters .",B2
La teorio de ilia uzo en seksa ekrano estis la unua proponita de Dviŝli en 1961 kaj gajnis pli da akcepto ekde .,The theory of their use in sexual display was first proposed by Davitashvili in 1961 and has gained increasing acceptance since .,B2
Newam komencis perdi sian vidkapablon en la jaro 1865.,Newsam started to lose his eyesight in the year 1857 .,B2
"En sia kutima habitaro, mentonoj vivas aŭ en Roilias , aŭ en cresplicoj de rokoj .","In their usual habitat , chinchillas live either in burrows , or in crevices of rocks .",B2
Plimalvalidigo de latinidaj lingvoj okazas en la lastaj tri linioj de la kanto .,A faux mixing of Romance languages occurs in the last three lines of the song .,B2
La nomo de la ligo estas forlasita al ĝenerala sponsoro kaj ŝanĝas ofte.,The name of the league is leased to a general sponsor and changes frequently .,B2
"La lud-loko komenciĝis sur PCs , kie ĝi restas elstara.","The indie game scene started on PCs , where it remains prominent .",B2
"Korkado kondukis 1 - 9 ĝis 1 - 6 je duona horo, sed plu maltrafis la ŝancon.","Cork led 1 - 9 to 1 - 6 at half -time , but went on to rue missed chances .",B2
"Blankaj semoj estas malmolaj kaj rondaj, kutime ĉirkaŭ 1 1. 1 ĝis 1400 steksoj, kun kolora formo deige aŭ flavaj al bruna .","White mustard seeds are hard and round , usually around 1 to 1.5 millimetres , with a color forming from beige or yellow to light brown .",B2
La semajnoj de la familio komencis suferi pro serio de familiaj tragedioj preskaŭ unufoje post la kompletigo de la domo.,The Weeks family began to suffer from a series of family tragedies almost at once after the completion of the house .,B2
"Mastiko estas uzata en manĝaĵo, medicino kaj industrio.","Mastic is used in food , medicine , and industry .",B2
"Akustikaj akustikaj, nasalkoj havas energion ĉirkaŭ 200 kaj 2000 Hz.","Acoustically , nasals have bands of energy at around 200 and 2,000 Hz .",B2
La investantoj iĝis la broca punkto de la kresko de kelkaj plej fruaj internaciaj kompanioj.,The stockyards became the focal point of the rise of some of the earliest international companies .,B2
"La militaj ornamaĵoj, la servo-premion, kaj la medaloj ofte konfuzas unu la alian.","Military decorations , service awards , and medals are often mistakenly confused with one another .",B2
"Finfine, la kderajlo malvarmiĝis, permesu pluvon kaj neĝon akumultajn kaj formi lagon .","Eventually , the caldera cooled , allowing rain and snow to accumulate and form a lake .",B2
La suiduloj enhavas dek sep ordonojn .,The rosids consist of 17 orders .,B2
Ternastoj bredas bruojn en dupunktoj kaj metas siajn ovojn sur nudan teron kun malgrandaj aŭ sen nestoj.,Terns breed in noisy colonies and lay their eggs on bare ground with little or no nest material .,B2
Komuna uzo de prutfotilo estas kapti la movadon de sunlumo dum longa periodo .,A common use of a pinhole camera is to capture the movement of sunlight over a long period of time .,B2
Ĉiuj trajnoj haltas ĉe ĉiu stacio laŭ la vojo kaj kuras laŭ la tuta longeco de ilia fino ĝis la fino.,All trains stop at every station along their route and run the entire length of their line from end to end .,B2
La signifo kaj intenco kelkfoje estas spegulo en malsamaj terminoj.,The meaning and intent are sometimes mirrored in different terms .,B2
"Akcicio ofenda estas operacio, kiu kutime estas pli malgranda aŭ pli limigita.",A tactical offensive is an operation that is usually smaller or more limited .,B2
"Interĉaj konkursoj estis gardataj en minimumo , kun superfluoj de ĉiuj markoj konkurantaj kune nur ĉe pagas specialajn okazojn.","Interbrand competition was kept at a minimum , with superstars from all brands competing together only at pay-per-view events .",B2
"Krom doni donacojn al grandaj edukaj institucioj tra Barato, li prezentis multajn edukajn reformojn dum sia regxado.","Apart from giving donations to major educational institutions throughout India , he introduced many educational reforms during his reign .",B2
Python estas bona programlingvo por komencantoj.,Python is a good programming language for beginners .,B2
La direkto kaj la daŭro de la frabela daŭro montras la direkton kaj distancon al la floroj.,The direction and duration of waggle runs show the direction and distance to flowers .,B2
"Ŝajnas, ke la normigo de la skripto estos ege influita de la bezono uzi ĝin per komputiloj .",It seems likely that the standardization of the script will be greatly influenced by the need to typeset it on computers .,B2
Ĉiuj organismoj studis multajn RN-ojn de multaj malsamaj specoj.,All organisms studied contain many RNases of many different sorts .,B2
"En 1551 estis 15 asteroidoj, sed ĉiuj unu kun sia propra simbolo .","By 1851 , there were 15 asteroids , all but one with their own symbol .",B2
La substantivoj kaj adjektivoj estas kreitaj per forigo de la fino kaj tiel havi la radikon .,The nouns and adjectives are created by removing the ending and thus obtaining the root .,B2
